PCNA_I	fbe5d6
3020	12045.5931
3025	10229.359
3030	9055.116583
3035	10905.64308
3040	10576.8424
3045	8079.82205
3050	9103.091433
3055	9138.116533
3060	10099.76602
3065	10486.18763
3070	10796.97313
3075	11345.61102
3080	11312.92313
3085	10663.66678
3090	10769.79948
3095	11435.29338
3100	8498.678533
3105	8876.6095
3110	8680.752783
3115	8240.6667
3120	8797.406783
3125	8944.914933
3130	8634.881683
3135	11854.67233
3140	9682.2344
3145	9605.978067
3150	12501.34072
3155	8663.936667
3160	8214.233683
3165	8063.0541
3170	9290.199383
3175	9448.386083
3180	10905.59945
3185	7461.87375
3190	8915.501817
3195	9182.81945
3200	9308.7444
3205	10422.76375
3210	9861.853567
3215	10233.33813
3220	8665.963067
3225	10412.7618
3230	9262.153917
3235	9482.124
3240	11441.45617
3245	11396.04237
3250	9092.346583
3255	9235.030417
3260	9646.1927
3265	8131.912317
3270	8705.5793
3275	10532.83563
3280	7853.60135
3285	7643.0079
3290	9415.932517
3295	8261.688333
3300	10342.3682
3305	8679.16555
3310	8435.38555
3315	8929.970517
3320	8968.934233
3325	7363.729917
3330	8638.546317
3335	9525.60235
3340	8964.9041
3345	8169.162433
3350	8062.355117
3355	6982.496417
3360	8121.656783
3365	8911.9797
3370	9247.51635
3375	10934.50143
3380	9163.710883
3385	10822.87717
3390	7824.968817
3395	8447.013267
3400	8302.689217
3405	7238.859817
3410	8453.816383
3415	8466.204567
3420	7136.583567
3425	6466.712167
3430	7932.441117
3435	6500.60705
3440	7182.411317
3445	7393.1759
3450	10140.95362
3455	6968.4632
3460	8534.79475
3465	7156.816683
3470	8692.664117
3475	8099.758517
3480	9105.434317
3485	10596.69075
3490	8985.50385
3495	8949.106283
3500	8792.015233
3505	7711.48985
3510	8234.171567
3515	8640.613233
3520	9082.102383
3525	8635.236133
3530	8942.965883
3535	8921.1699
3540	7057.786017
3545	7420.57735
3550	8315.263267
3555	8721.3774
3560	9357.786283
3565	8488.608017
3570	7191.853683
3575	9612.0856
3580	9284.79225
3585	8936.318317
3590	7541.764683
3595	7542.974233
3600	9105.104517
3605	10379.0253
3610	9674.00215
3615	8135.0066
3620	10241.92937
3625	9083.155533
3630	9034.90075
3635	7988.421267
3640	8762.883183
3645	8295.192217
